"","Date","Singapore.CPI.MoM","Singapore.IP.YOY","STI","singapore.1.yr.IR","Singapore.CPI.YoY","MPMISGWA.Index"
"2","2020/1/2",0.2,-3.7,29.1700000000001,0,0,0
"3","2020/1/3",0.2,-3.7,-13.1799999999998,0,0,0
"4","2020/1/6",0.2,-3.7,-19.96,0,0,0
"5","2020/1/7",0.2,-3.7,29,0,0,0
"6","2020/1/8",0.2,-3.7,-1.97000000000025,0,0,0
"7","2020/1/9",0.2,-3.7,1.59000000000015,0,0,0
"8","2020/1/10",0.2,-3.7,8.4699999999998,0,0,0
"9","2020/1/13",0.2,-3.7,-4.87999999999965,0,0,0
"10","2020/1/14",0.2,-3.7,19.4699999999998,0,0,0
"11","2020/1/15",0.2,-3.7,-13.5599999999999,0,0,0
"12","2020/1/16",0.2,-3.7,21.02,0,0,0
"13","2020/1/17",0.2,-3.7,3.0300000000002,0,0,0
"14","2020/1/20",0.2,-3.7,-0.940000000000055,0,0,0
"15","2020/1/21",0.2,-3.7,-32.9200000000001,0,0,0
"16","2020/1/22",0.2,-3.7,6.75999999999976,0,0,0
"17","2020/1/23",0.2,-3.7,-19.3699999999999,0,0,0
"18","2020/1/24",0.2,-3.7,5.46000000000004,0,0,0
"19","2020/1/27",0.2,-3.7,0,0,0,0
"20","2020/1/28",0.2,-3.7,-58.77,0,0,0
"21","2020/1/29",0.2,-3.7,1.32000000000016,0,0,0
"22","2020/1/30",0.2,-3.7,-11.8900000000003,0,0,0
"23","2020/1/31",-0.2,3.7,-16.9499999999998,0,0,0
"24","2020/2/3",-0.2,3.7,-37.4200000000001,0,0,-4.4
"25","2020/2/4",-0.2,3.7,40.2600000000002,0,0,0
"26","2020/2/5",-0.2,3.7,43.5599999999999,0,0,0
"27","2020/2/6",-0.2,3.7,31.4200000000001,0,0,0
"28","2020/2/7",-0.2,3.7,-50.0700000000002,0,0,0
"29","2020/2/10",-0.2,3.7,-18.3299999999999,0,0,0
"30","2020/2/11",-0.2,3.7,12.4200000000001,0,0,0
"31","2020/2/12",-0.2,3.7,47.7999999999997,0,0,0
"32","2020/2/13",-0.2,3.7,-3.27999999999975,0,0,0
"33","2020/2/14",-0.2,3.7,-0.0599999999999454,0,0,0
"34","2020/2/17",-0.2,3.7,-7.0300000000002,0,0,0
"35","2020/2/18",-0.2,3.7,-16.3699999999999,0,0,0
"36","2020/2/19",-0.2,3.7,17.0799999999999,0,0,0
"37","2020/2/20",-0.2,3.7,-15.0300000000002,0,0,0
"38","2020/2/21",-0.2,3.7,-17.6499999999996,0,0,0
"39","2020/2/24",-0.2,3.7,-38.8300000000004,0,0,0
"40","2020/2/25",-0.2,3.7,16.04,0,0,0
"41","2020/2/26",-0.2,3.7,-40.7199999999998,0,0,0
"42","2020/2/27",-0.2,3.7,-5.82000000000016,0,0,0
"43","2020/2/28",-0.2,3.7,-100.62,0,0,0
"44","2020/3/2",0.1,-0.5,-3.36000000000013,0,-0.5,-13.7
"45","2020/3/3",0.1,-0.5,11.8400000000001,0,0,0
"46","2020/3/4",0.1,-0.5,5.47000000000025,0,0,0
"47","2020/3/5",0.1,-0.5,-6.76000000000022,0,0,0
"48","2020/3/6",0.1,-0.5,-57.29,0,0,0
"49","2020/3/9",0.1,-0.5,-178.61,0,0,0
"50","2020/3/10",0.1,-0.5,50.1700000000001,0,0,0
"51","2020/3/11",0.1,-0.5,-48.8200000000002,0,0,0
"52","2020/3/12",0.1,-0.5,-105.08,0,0,0
"53","2020/3/13",0.1,-0.5,-44.6399999999999,0,0,0
"54","2020/3/16",0.1,-0.5,-138.23,0,0,0
"55","2020/3/17",0.1,-0.5,-41.2399999999998,0,0,0
"56","2020/3/18",0.1,-0.5,-28.9100000000003,0,0,0
"57","2020/3/19",0.1,-0.5,-114.62,0,0,0
"58","2020/3/20",0.1,-0.5,99.7399999999998,0,0,0
"59","2020/3/23",0.1,-0.5,-177.26,0,0,0
"60","2020/3/24",0.1,-0.5,128.57,0,0,0
"61","2020/3/25",0.1,-0.5,143.42,0,0,0
"62","2020/3/26",0.1,-0.5,-17.9099999999999,0,0,0
"63","2020/3/27",0.1,-0.5,41.2000000000003,0,0,0
"64","2020/3/30",0.1,-0.5,-112.52,0,0,0
"65","2020/3/31",-0.3,21.5,64.9900000000002,0,-0.3,0
"66","2020/4/1",-0.3,21.5,-40.96,0,0,-5.2
"67","2020/4/2",-0.3,21.5,12.7600000000002,0,0,0
