"","Date","FTSE.100","UK.MoM.CPI","UK.2yr.swap.rate","UK.YoY.CPI","UK.Manufacturing.PMI","UK.Service.PMI","MPMIGBCA.Index"
"2","2020/1/2",7604.3,0,-0.00190000000000001,0,0,0,0
"3","2020/1/3",7622.4,0,-0.0225000000000001,0,0,0,0
"4","2020/1/6",7575.34,0,0.02,0,0,0,0
"5","2020/1/7",7573.85,0,0.01,0,0,0,0
"6","2020/1/8",7574.93,0,0.01507,0,0,0,0
"7","2020/1/9",7598.12,0,-0.03407,0,0,0,0
"8","2020/1/10",7587.85,0,-0.0459999999999999,0,0,0,0
"9","2020/1/13",7617.6,0,-0.052,0,0,0,0
"10","2020/1/14",7622.35,0,0.003,0,0,0,0
"11","2020/1/15",7642.8,0,-0.06795,0,0,0,0
"12","2020/1/16",7609.81,0,0.00514999999999999,0,0,0,0
"13","2020/1/17",7674.56,0,-0.0164,0,0,0,0
"14","2020/1/20",7651.44,0,0.00919999999999999,0,0,0,0
"15","2020/1/21",7610.7,0,0.00730000000000003,0,0,0,0
"16","2020/1/22",7571.92,0,0.0117,0,0,0,0
"17","2020/1/23",7507.67,0,-0.015,0,0,0,0
"18","2020/1/24",7585.98,0,-0.005,0,0,0,0
"19","2020/1/27",7412.05,0,-0.019,0,0,0,0
"20","2020/1/28",7480.69,0,0.0262,0,0,0,0
"21","2020/1/29",7483.57,0,0.00296000000000002,0,0,0,0
"22","2020/1/30",7381.96,0,0.06884,0,0,0,0
"23","2020/1/31",7286.01,-0.3,-0.02496,0.5,2.5,3.9,0
"24","2020/2/3",7326.31,-0.3,-0.00344,0,0,0,-0.299999999999997
"25","2020/2/4",7439.82,-0.3,0.0384,0,0,0,0
"26","2020/2/5",7482.48,-0.3,0.021,0,0,0,0
"27","2020/2/6",7504.79,-0.3,-0.0117,0,0,0,0
"28","2020/2/7",7466.7,-0.3,0.00270000000000004,0,0,0,0
"29","2020/2/10",7446.88,-0.3,-0.018,0,0,0,0
"30","2020/2/11",7499.44,-0.3,0.01725,0,0,0,0
"31","2020/2/12",7534.37,-0.3,0.01775,0,0,0,0
"32","2020/2/13",7452.03,-0.3,0.00624999999999998,0,0,0,0
"33","2020/2/14",7409.13,-0.3,0.000549999999999939,0,0,0,0
"34","2020/2/17",7433.25,-0.3,0.00919999999999999,0,0,0,0
"35","2020/2/18",7382.01,-0.3,-0.0147499999999999,0,0,0,0
"36","2020/2/19",7457.02,-0.3,0,0,0,0,0
"37","2020/2/20",7436.64,-0.3,-0.00850000000000006,0,0,0,0
"38","2020/2/21",7403.92,-0.3,-0.00605,0,0,0,0
"39","2020/2/24",7156.83,-0.3,-0.0587,0,0,0,0
"40","2020/2/25",7017.88,-0.3,-0.02201,0,0,0,0
"41","2020/2/26",7042.47,-0.3,-0.01799,0,0,0,0
"42","2020/2/27",6796.4,-0.3,-0.00900000000000001,0,0,0,0
"43","2020/2/28",6580.61,-0.3,-0.056,0,0,0,0
"44","2020/3/2",6654.89,0.4,-0.054,-0.1,1.7,-0.699999999999996,-17
"45","2020/3/3",6718.2,0.4,-0.045,0,0,0,0
"46","2020/3/4",6815.59,0.4,-0.003,0,0,0,0
"47","2020/3/5",6705.43,0.4,-0.05073,0,0,0,0
"48","2020/3/6",6462.55,0.4,0.01633,0,0,0,0
"49","2020/3/9",5965.77,0.4,-0.0246,0,0,0,0
"50","2020/3/10",5960.23,0.4,0.0477,0,0,0,0
"51","2020/3/11",5876.52,0.4,-0.0657,0,0,0,0
"52","2020/3/12",5237.48,0.4,0.01,0,0,0,0
"53","2020/3/13",5366.11,0.4,0.022,0,0,0,0
"54","2020/3/16",5151.08,0.4,-0.03,0,0,0,0
"55","2020/3/17",5294.9,0.4,0.0164,0,0,0,0
"56","2020/3/18",5080.58,0.4,-0.00340000000000001,0,0,0,0
"57","2020/3/19",5151.61,0.4,-0.0661,0,0,0,0
"58","2020/3/20",5190.78,0.4,0.0171,0,0,0,0
"59","2020/3/23",4993.89,0.4,-0.0175,0,0,0,0
"60","2020/3/24",5446.01,0.4,0.00849999999999998,0,0,0,0
"61","2020/3/25",5688.2,0.4,-0.003,0,0,0,0
"62","2020/3/26",5815.73,0.4,-0.002,0,0,0,0
"63","2020/3/27",5510.33,0.4,0.001,0,0,0,0
"64","2020/3/30",5563.74,0.4,-5e-04,0,0,0,0
