"","Date","VIX","US.CPI.MoM","UST.10.2.Spread","US.Federal.Funds.Effective.Rate..continuous.series.","M1.Index","US.Condition.of.All.Federal.Reserve.Banks.Total.Assets..","CDX.IG.CDSI.GEN.5Y.Corp","CBOE.Equity.Put.Call.Ratio","SPX","NASDAQ","Brent","US.CPI.YoY","US.ISM.Manufacturing.PMI","US.Service.PMI","MPMIUSCA.Index"
"2","2020/1/2",12.47,0.2,-0.0943,0,0,0,-1.111,-0.02,27.0699999999997,119.59,0.399999999999999,0,0,0,0
"3","2020/1/3",14.02,0.2,-0.0446,0,0,0,1.68,0.0299999999999999,-23,-71.4200000000001,-0.189999999999998,0,0,0,0
"4","2020/1/6",13.85,0.2,0.001,0,0,0,0.213999999999999,-0.0299999999999999,11.4300000000003,50.6999999999989,0.0600000000000023,0,0,0,0
"5","2020/1/7",13.79,0.2,0.0128,0,0,0,0.616,-0.1,-9.10000000000036,-2.88999999999942,0.359999999999999,0,0,0,0
"6","2020/1/8",13.45,0.2,0.0159,0,0,-24082,-1.552,0.03,15.8700000000003,60.6599999999999,-0.990000000000002,0,0,0,0
"7","2020/1/9",12.54,0.2,-0.0172,0,0,0,-1.269,0.02,21.6499999999996,74.1900000000005,0.259999999999998,0,0,0,0
"8","2020/1/10",12.56,0.2,-0.0266,-0.01,0,0,0.350999999999999,0.05,-9.34999999999991,-24.5699999999997,-0.0699999999999932,0,0,0,0
"9","2020/1/13",12.32,0.2,0.0122,0,0,0,-0.0619999999999976,-0.0700000000000001,22.7800000000002,95.0699999999997,-0.0900000000000034,0,0,0,0
"10","2020/1/14",12.39,0.2,-0.0207,0,0,0,0.582999999999998,0,-4.98000000000002,-22.6000000000004,0.00999999999999801,0,0,0,0
"11","2020/1/15",12.42,0.2,-0.0115,0,0,26306,-0.000999999999997669,-0.03,6.13999999999987,7.3700000000008,-0.169999999999995,0,0,0,0
"12","2020/1/16",12.32,0.2,0.0123,0,0,0,-0.661000000000001,0.03,27.52,98.4299999999985,0.189999999999998,0,0,0,0
"13","2020/1/17",12.1,0.2,0.0206,0.01,0,0,-0.00100000000000477,0.01,12.8099999999999,31.8100000000013,0.0499999999999972,0,0,0,0
"14","2020/1/20",12.1,0.2,0,0,0,0,0,0,0,0,0.0500000000000043,0,0,0,0
"15","2020/1/21",12.85,0.2,-0.0184,0,0,0,1.71,0.11,-8.82999999999993,-18.130000000001,0.229999999999997,0,0,0,0
"16","2020/1/22",12.91,0.2,-0.00310000000000002,0,0,-29938,-0.692,-0.07,0.960000000000036,12.9600000000009,-0.649999999999999,0,0,0,0
"17","2020/1/23",12.98,0.2,-0.022,0,0,0,0.949000000000005,0.02,3.78999999999996,18.7099999999991,-1.06,0,0,0,0
"18","2020/1/24",14.56,0.2,-0.0296,0,0,0,1.005,0.16,-30.0700000000002,-87.5699999999997,-0.850000000000001,0,0,0,0
"19","2020/1/27",18.23,0.2,-0.0221,0,0,0,2.283,-0.0599999999999999,-51.8399999999997,-175.6,0.0100000000000051,0,0,0,0
"20","2020/1/28",16.28,0.2,0.0266,0,0,0,-2.662,-0.09,32.6099999999997,130.370000000001,0.210000000000001,0,0,0,0
"21","2020/1/29",16.39,0.2,-0.0226,0,0,5718,1.37,-0.05,-2.83999999999969,5.47999999999956,-0.120000000000005,0,0,0,0
"22","2020/1/30",15.49,0.2,0.00170000000000001,0.05,0,0,-0.481000000000002,0.11,10.2599999999998,23.7700000000004,0.120000000000005,0,0,0,0
"23","2020/1/31",18.84,0.2,0.0208,-0.01,-13.5,0,2.62,0.13,-58.1399999999999,-147.99,-0.0500000000000043,0.2,3.5,0.299999999999997,0
"24","2020/2/3",17.97,0.2,-0.0194,0,0,0,-0.0799999999999983,-0.24,23.4000000000001,122.459999999999,0.189999999999998,0,0,0,-3.7
"25","2020/2/4",16.05,0.2,0.0159,0,0,0,-3.014,-0.04,48.6700000000001,194.57,-0.209999999999994,0,0,0,0
"26","2020/2/5",15.15,0.2,0.0176,0,0,15077,-2.206,0.05,37.0999999999999,40.7100000000009,0.439999999999998,0,0,0,0
"27","2020/2/6",14.96,0.2,-0.0107,0,0,0,0.480000000000004,-0.04,11.0900000000001,63.4699999999993,0.57,0,0,0,0
"28","2020/2/7",15.47,0.2,-0.0147,-0.01,0,0,0.793999999999997,0.0900000000000001,-18.0700000000002,-51.6399999999994,0.189999999999998,0,0,0,0
"29","2020/2/10",15.04,0.2,-0.0058,0,0,0,-0.857999999999997,-0.1,24.3800000000001,107.879999999999,-0.0399999999999991,0,0,0,0
"30","2020/2/11",15.18,0.2,0.000700000000000006,0,0,0,-0.436999999999998,-0.01,5.65999999999985,10.5500000000011,-0.210000000000001,0,0,0,0
"31","2020/2/12",13.74,0.2,0.0124,0,0,15982,-1.024,0.03,21.6999999999998,87.0199999999986,0.149999999999999,0,0,0,0
"32","2020/2/13",14.15,0.2,-0.0161,0,0,0,-0.0600000000000023,0.0700000000000001,-5.50999999999976,-13.9899999999998,-0.259999999999998,0,0,0,0
"33","2020/2/14",13.68,0.2,-0.0166,0,0,0,0.515999999999998,0.0299999999999999,6.2199999999998,19.2100000000009,0.109999999999999,0,0,0,0
"34","2020/2/17",13.68,0.2,0,0,0,0,0,0,0,0,0.280000000000001,0,0,0,0
"35","2020/2/18",14.83,0.2,-0.00750000000000001,0.01,0,0,0.408000000000001,-0.07,-9.86999999999989,1.55999999999949,0.200000000000003,0,0,0,0
"36","2020/2/19",14.38,0.2,-0.00520000000000001,0,0,-11119,-0.155999999999999,-0.06,15.8600000000001,84.4400000000005,0.309999999999995,0,0,0,0
"37","2020/2/20",15.56,0.2,-0.0182,0,0,0,0.838000000000001,0.06,-12.9200000000001,-66.2100000000009,0.0700000000000003,0,0,0,0
"38","2020/2/21",17.08,0.2,-0.00899999999999999,-0.01,0,0,1.19,0.22,-35.48,-174.379999999999,-0.169999999999995,0,0,0,0
"39","2020/2/24",25.03,0.2,0.00589999999999999,0,0,0,6.525,-0.03,-111.86,-355.309999999999,-0.140000000000001,0,0,0,0
"40","2020/2/25",27.85,0.2,0.0044,0,0,0,2.338,0.1,-97.6799999999998,-255.67,-1.39,0,0,0,0
"41","2020/2/26",27.56,0.2,0.0451,0,0,-12933,2.276,-0.15,-11.8200000000002,15.1599999999999,-0.380000000000003,0,0,0,0
"42","2020/2/27",39.16,0.2,0.0268,0,0,0,6.896,0.21,-137.63,-414.290000000001,-0.25,0,0,0,0
"43","2020/2/28",40.11,0.2,0.0364,0,0,0,1.89699999999999,-0.01,-24.5400000000004,0.890000000001237,-1.43,0,0,0,0
"44","2020/3/2",33.42,0.1,0.0247,0.01,0,0,-1.878,-0.09,136.01,384.799999999999,0.960000000000001,-0.2,-1.1,0.899999999999999,-8.7
"45","2020/3/3",36.82,0.1,0.0396,0,0,0,6.726,-0.03,-86.8600000000001,-268.08,0.240000000000002,0,0,0,0
"46","2020/3/4",31.99,0.1,0.0597,-0.5,0,82870,-5.491,-0.09,126.75,334,0.0799999999999983,0,0,0,0
"47","2020/3/5",39.62,0.1,-0.0449,0,0,0,7.41800000000001,0.14,-106.18,-279.5,-0.450000000000003,0,0,0,0
"48","2020/3/6",41.94,0.1,-0.0586,0,0,0,9.904,0.11,-51.5700000000002,-162.969999999999,-0.789999999999999,0,0,0,0
"49","2020/3/9",54.46,0.1,-0.0964,0,0,0,27.783,0.23,-225.81,-624.940000000001,-4.27,0,0,0,0
"50","2020/3/10",47.3,0.1,0.1091,0,0,0,-4.19,-0.37,135.67,393.57,1.38999999999999,0,0,0,0
"51","2020/3/11",53.9,0.1,0.0812,0,0,70404,10.668,0.27,-140.85,-392.2,0.120000000000005,0,0,0,0
"52","2020/3/12",75.47,0.1,-0.0268,0.01,0,0,21.457,0.26,-260.74,-750.25,-0.350000000000001,0,0,0,0
"53","2020/3/13",57.83,0.1,0.1468,0,0,0,-31.387,-0.28,230.38,673.08,-1.03,0,0,0,0
"54","2020/3/16",82.69,0.1,-0.1117,-0.85,0,0,16.738,0.1,-324.89,-970.29,-2.59,0,0,0,0
"55","2020/3/17",75.91,0.1,0.2276,0,0,0,-0.994,-0.24,143.06,430.19,-0.460000000000001,0,0,0,0
"56","2020/3/18",76.45,0.1,0.0719000000000001,0,0,356301,17.737,0.12,-131.09,-344.94,-3.09,0,0,0,0
"57","2020/3/19",72,0.1,0.0318999999999999,-0.05,0,0,0.869,-0.1,11.29,160.74,0.469999999999999,0,0,0,0
"58","2020/3/20",66.04,0.1,-0.1577,-0.05,0,0,9.96000000000001,-0.05,-104.47,-271.059999999999,-1.02,0,0,0,0
"59","2020/3/23",61.59,0.1,-0.0580000000000001,0,0,0,-30.235,-0.21,-67.52,-18.8500000000004,1.2,0,0,0,0
